"local","ano","total_ano"
"Brasil",2021,932502
"Norte",2021,76129
"Rondônia",2021,12159
"Acre",2021,3914
"Amazonas",2021,13199
"Roraima",2021,2226
"Pará",2021,34703
"Amapá",2021,2838
"Tocantins",2021,7090
"Nordeste",2021,219331
"Maranhão",2021,21481
"Piauí",2021,8518
"Ceará",2021,33607
"Rio Grande do Norte",2021,13276
"Paraíba",2021,16116
"Pernambuco",2021,44101
"Alagoas",2021,13894
"Sergipe",2021,7241
"Bahia",2021,61097
"Sudeste",2021,436202
"Minas Gerais",2021,105291
"Espírito Santo",2021,23120
"Rio de Janeiro",2021,76097
"São Paulo",2021,231694
"Sul",2021,117874
"Paraná",2021,51261
"Santa Catarina",2021,32035
"Rio Grande do Sul",2021,34578
"Centro-Oeste",2021,82966
"Mato Grosso do Sul",2021,14309
"Mato Grosso",2021,17656
